date	minute	lat	lon	depth	mag
05-Jan-1994	543	47.439	-70.068	14.9	0.4
07-Jan-1994	690	47.505	-69.954	9.2	0.2
10-Jan-1994	1036	47.342	-70.321	6.4	0.5
04-Feb-1994	1330	47.492	-70.361	8.6	0.6
10-Feb-1994	395	47.712	-70.107	9.8	0.2
16-Mar-1994	384	47.584	-69.973	9	0.3
22-Mar-1994	1414	47.526	-69.923	14.9	2
22-Mar-1994	943	47.398	-70.49	10.1	0.7
24-Mar-1994	357	47.321	-70.112	9.9	-0.2
31-Mar-1994	178	47.162	-71.045	0	1.7
12-Apr-1994	1308	47.675	-69.907	15.3	0.3
29-Apr-1994	132	48.255	-71.06	18	2.4
04-May-1994	373	47.673	-70.152	6.9	1.5
17-May-1994	347	47.289	-70.601	15.6	0.7
20-May-1994	373	47.676	-69.905	12.8	0.1
11-Jun-1994	1375	47.449	-70.058	10.4	0.6
14-Jun-1994	1419	47.704	-70.07	10.1	1.4
14-Jun-1994	901	47.467	-70.392	4.5	0
17-Jun-1994	219	47.483	-69.987	11.7	1.4
18-Jun-1994	492	47.388	-70.13	11.1	0.3
21-Jun-1994	470	47.44	-70.05	8	2.4
24-Jun-1994	445	47.444	-70.318	12.1	2.5
11-Jul-1994	1437	47.448	-70.042	14.2	0.5
11-Jul-1994	575	47.562	-70.051	4.9	2.8
17-Jul-1994	1005	47.474	-70.101	13.1	0.2
03-Aug-1994	52	47.58	-69.945	12.1	0.7
03-Aug-1994	15	47.787	-69.858	22.5	0.1
08-Aug-1994	56	47.378	-70.455	10.6	1.8
11-Aug-1994	1387	47.704	-70.089	8.6	0.6
23-Aug-1994	424	47.391	-70.128	16.3	1.9
29-Aug-1994	614	47.497	-70.209	16.1	1.8
01-Sep-1994	284	47.517	-70.387	4.9	0.5
10-Sep-1994	1422	47.527	-69.952	12.6	0.7
11-Sep-1994	1300	47.504	-70.029	8.7	0.1
14-Sep-1994	289	47.519	-70.266	4.3	0.2
24-Sep-1994	841	47.732	-69.997	12.7	0.7
25-Sep-1994	592	47.173	-70.396	9.2	0.9
16-Oct-1994	639	47.387	-70.213	16	0.5
26-Oct-1994	1266	47.501	-70.128	14.9	0
