    -0.08949     -0.01983      0.16456
     1.13958     -0.00438      0.00123      0.04854
     0.38758     -0.08507      0.01390      0.04317
     0.56476     -0.04666      0.08756      0.00760
     0.60196     -0.01089     -0.01730     -0.00196
     0.10862     -0.02716     -0.06239      0.07592
     0.64056     -0.01473     -0.00575      0.24859
     1.55351     -0.03687      0.04627     -0.04837
     0.38658     -0.16371      0.08489     -0.04652
     1.04949      0.07184     -0.05980      0.06840
     0.76753      0.01396      0.10325     -0.09268
     0.79462     -0.15959     -0.12043      0.06921
     1.20205     -0.01029     -0.00538     -0.01679
     0.01220     -0.04427      0.05482      0.07024
     0.64991      0.00184     -0.05147     -0.08467
     0.48464     -0.01891      0.00172      0.07044
     0.51421     -0.03508     -0.12949     -0.00689
     0.73626      0.00091     -0.08070      0.03764
     0.54546      0.04682     -0.10357     -0.07159
     0.73971     -0.03447      0.00594      0.22014
     1.39484     -0.08266     -0.02391     -0.06216
     0.50144      0.02287     -0.00438     -0.00335
     0.22007     -0.02903      0.21024      0.04023
     1.31403     -0.01584     -0.02479     -0.04604
     0.20406     -0.07501      0.00294      0.00702
     0.39685     -0.00776     -0.00456     -0.02095
     0.03693     -0.01451     -0.08452     -0.11998
     0.75851     -0.02800      0.14434      0.01861
     0.91005      0.03404      0.04310     -0.07440
     0.51998     -0.01181     -0.00755     -0.09033
     0.43065     -0.00531      0.02262      0.11633
     0.79829     -0.02831     -0.05128      0.03884
     0.42957     -0.04058     -0.00238      0.03057
     0.32392      0.05522     -0.13772      0.02646
     0.90139      0.04326     -0.02828      0.12734
     0.91314     -0.01450     -0.01648     -0.02716
     0.08656      0.03383      0.01934     -0.07880
     0.47623     -0.00062     -0.01811     -0.02126
     0.10068      0.15969     -0.00987     -0.10598
     1.13386     -0.09241     -0.04928      0.18297
     1.28503      0.05409     -0.03106      0.15610
     1.09358     -0.00715     -0.07636     -0.00999
     0.41365      0.01731      0.05720     -0.04781
     0.44792     -0.00806     -0.32215      0.35216
     2.79737     -0.04721      0.02252     -0.18605
     1.02579      0.05236     -0.11842     -0.04967
     0.78192     -0.03266     -0.00787      0.04186
     0.36372      0.05485      0.02227     -0.11866
     0.73315     -0.01133      0.01597     -0.01922
     0.13073     -0.00555     -0.00756     -0.01192
     0.04883      0.23048     -0.02331     -0.09852
     1.50238     -0.08578     -0.16166     -0.01321
     1.00699     -0.01030     -0.00483     -0.01395
     0.02151      0.11161      0.02976     -0.26249
     1.62435     -0.00793     -0.01423      0.00736
     0.15098     -0.00368      0.07957     -0.00408
     0.51007     -0.00829     -0.00676      0.00193
     0.11194     -0.12587      0.01209     -0.03722
     0.68453     -0.00910      0.03532     -0.10868
     0.59064     -0.01786      0.12906     -0.21703
     1.41502     -0.01155     -0.01271     -0.03436
     0.10981      0.11971      0.14350     -0.06376
     1.19998      0.00145      0.00066     -0.03065
     0.12080      0.02367      0.02676     -0.15327
     0.84839      0.05565      0.10558     -0.15060
     1.09527     -0.01432     -0.09282     -0.06718
     0.58674     -0.21686      0.00525      0.01356
     1.21301      0.02462     -0.10094     -0.07635
     0.68963     -0.02955     -0.00906     -0.06698
     0.31138     -0.02676      0.02800     -0.00183
     0.23459     -0.01399     -0.00878     -0.01989
     0.02584     -0.12663      0.10841      0.24847
     1.81935      0.01406      0.00762      0.10143
     0.71345     -0.01082     -0.00305     -0.01806
     0.02150     -0.03013     -0.00346     -0.07161
     0.33809      0.06097      0.15824     -0.03392
     1.05842     -0.02154     -0.00221     -0.05576
     0.23582      0.00257     -0.03047     -0.01416
     0.16696      0.03553     -0.01926     -0.13019
     0.72434     -0.01211     -0.00688      0.00554
     0.13069     -0.06127     -0.00941     -0.04340
     0.32736     -0.10858     -0.02810     -0.02232
     0.57951     -0.08148      0.02244     -0.16200
     0.95673      0.14262     -0.02783      0.16552
     1.40583      0.12197     -0.05369      0.26801
     1.85961      0.04151     -0.16837     -0.31570
     2.01542     -0.05945      0.02380     -0.05566
     0.39896     -0.01754     -0.01149      0.00900
     0.15716      0.12850     -0.12817      0.05715
     1.17277     -0.01002     -0.16904     -0.00865
     0.95446      0.01332     -0.03527     -0.04836
