    -0.02348     -0.00820      0.00968
     0.86918     -0.01450      0.01576     -0.01162
     1.04283     -0.00545      0.00099     -0.02519
     0.59584     -0.01214     -0.00640     -0.02751
     0.49348     -0.01119     -0.00200      0.00264
     0.91477     -0.01455     -0.01278     -0.00866
     0.49224     -0.01634     -0.00565     -0.00987
     0.37118     -0.00236     -0.02539     -0.01047
     1.03291     -0.00411     -0.00943      0.00425
     1.04637     -0.01254     -0.00771     -0.01830
     0.09919     -0.00548     -0.00248     -0.02583
     0.54571     -0.01051     -0.00794     -0.01743
     0.11537      0.01288     -0.00674     -0.02979
     1.29930     -0.02390     -0.01249      0.01236
     1.47251     -0.00253     -0.00983      0.00844
     1.25314     -0.01146     -0.01644     -0.01579
     0.47401     -0.00789      0.00304     -0.02131
     0.51326     -0.01160     -0.05230      0.03705
     3.21225     -0.01731     -0.00202     -0.04148
     1.17545     -0.00278     -0.02258     -0.02158
     0.89601     -0.01518     -0.00645     -0.00822
     0.41679     -0.00242     -0.00205     -0.03164
     0.84011     -0.01207     -0.00297     -0.01714
     0.14980     -0.01123     -0.00640     -0.01607
     0.05595      0.02321     -0.00870     -0.02871
     1.72158     -0.02293     -0.02889     -0.01626
     1.15391     -0.01192     -0.00601     -0.01637
     0.02464      0.00586     -0.00096     -0.05263
     1.86134     -0.01158     -0.00738     -0.01326
     0.17301     -0.01096      0.00631     -0.01493
     0.58449     -0.01163     -0.00629     -0.01405
     0.12827     -0.02878     -0.00354     -0.01976
     0.78440     -0.01175     -0.00015     -0.03019
     0.67681     -0.01303      0.01353     -0.04600
     1.62147     -0.01210     -0.00716     -0.01935
     0.12583      0.00705      0.01563     -0.02363
     1.37505     -0.01021     -0.00521     -0.01880
     0.13843     -0.00697     -0.00140     -0.03669
     0.97217     -0.00230      0.01010     -0.03630
     1.25507     -0.01251     -0.01884     -0.02413
     0.67235     -0.04206     -0.00454     -0.01235
     1.38999     -0.00683     -0.02003     -0.02547
     0.79025     -0.01473     -0.00662     -0.02410
     0.35682     -0.01432     -0.00122     -0.01460
     0.26881     -0.01246     -0.00658     -0.01723
     0.02961     -0.02890      0.01052      0.02192
     2.08480     -0.00837     -0.00419      0.00047
     0.81754     -0.01200     -0.00575     -0.01697
     0.02464     -0.01481     -0.00581     -0.02478
     0.38741     -0.00152      0.01779     -0.01928
     1.21284     -0.01356     -0.00562     -0.02247
     0.27022     -0.01004     -0.00975     -0.01640
     0.19133     -0.00524     -0.00811     -0.03333
